# Year 2021
# Release 2021a 
# utcOffsetDirection	utcOffsetHours	utcOffsetMinutes	fromDate	thruDate	colloquialAbbreviation	ruleName	zoneName
+	14	0	2021-01-01T00:00:00.000Z	2021-04-04T03:59:59.000Z	+13/+14	WS	Pacific/Apia
+	13	0	2021-04-04T04:00:00.000Z	2021-09-26T02:59:59.000Z	+13/+14	WS	Pacific/Apia
+	14	0	2021-09-26T03:00:00.000Z	2021-12-31T23:59:59.000Z	+13/+14	WS	Pacific/Apia
+	13	45	2021-01-01T00:00:00.000Z	2021-04-04T02:44:59.000Z	+1245/+1345	Chatham	Pacific/Chatham
+	12	45	2021-04-04T02:45:00.000Z	2021-09-26T02:44:59.000Z	+1245/+1345	Chatham	Pacific/Chatham
+	13	45	2021-09-26T02:45:00.000Z	2021-12-31T23:59:59.000Z	+1245/+1345	Chatham	Pacific/Chatham
+	13	0	2021-01-01T00:00:00.000Z	2021-01-17T02:59:59.000Z	+12/+13	Fiji	Pacific/Fiji
+	12	0	2021-01-17T03:00:00.000Z	2021-11-14T01:59:59.000Z	+12/+13	Fiji	Pacific/Fiji
+	13	0	2021-11-14T02:00:00.000Z	2021-12-31T23:59:59.000Z	+12/+13	Fiji	Pacific/Fiji
+	13	0	2021-01-01T00:00:00.000Z	2021-04-04T01:59:59.000Z	NZDT	NZ	Pacific/Auckland
+	12	0	2021-04-04T02:00:00.000Z	2021-09-26T01:59:59.000Z	NZST	NZ	Pacific/Auckland
+	13	0	2021-09-26T02:00:00.000Z	2021-12-31T23:59:59.000Z	NZDT	NZ	Pacific/Auckland
+	12	0	2021-01-01T00:00:00.000Z	2021-04-04T01:59:59.000Z	+11/+12	AN	Pacific/Norfolk
+	11	0	2021-04-04T02:00:00.000Z	2021-10-03T01:59:59.000Z	+11/+12	AN	Pacific/Norfolk
+	12	0	2021-10-03T02:00:00.000Z	2021-12-31T23:59:59.000Z	+11/+12	AN	Pacific/Norfolk
+	11	0	2021-01-01T00:00:00.000Z	2021-04-04T01:59:59.000Z	+1030/+11	LH	Australia/Lord_Howe
+	10	30	2021-04-04T02:00:00.000Z	2021-10-03T01:59:59.000Z	+1030/+11	LH	Australia/Lord_Howe
+	11	0	2021-10-03T02:00:00.000Z	2021-12-31T23:59:59.000Z	+1030/+11	LH	Australia/Lord_Howe
+	11	0	2021-01-01T00:00:00.000Z	2021-04-04T01:59:59.000Z	AEDT	AT	Australia/Hobart
+	10	0	2021-04-04T02:00:00.000Z	2021-10-03T01:59:59.000Z	AEST	AT	Australia/Hobart
+	11	0	2021-10-03T02:00:00.000Z	2021-12-31T23:59:59.000Z	AEDT	AT	Australia/Hobart
+	11	0	2021-01-01T00:00:00.000Z	2021-04-04T01:59:59.000Z	AEDT	AV	Australia/Melbourne
+	10	0	2021-04-04T02:00:00.000Z	2021-10-03T01:59:59.000Z	AEST	AV	Australia/Melbourne
+	11	0	2021-10-03T02:00:00.000Z	2021-12-31T23:59:59.000Z	AEDT	AV	Australia/Melbourne
+	11	0	2021-01-01T00:00:00.000Z	2021-04-04T01:59:59.000Z	AEDT	AN	Australia/Sydney
+	10	0	2021-04-04T02:00:00.000Z	2021-10-03T01:59:59.000Z	AEST	AN	Australia/Sydney
+	11	0	2021-10-03T02:00:00.000Z	2021-12-31T23:59:59.000Z	AEDT	AN	Australia/Sydney
+	11	0	2021-01-01T00:00:00.000Z	2021-04-04T01:59:59.000Z	AEDT	AT	Antarctica/Macquarie
+	10	0	2021-04-04T02:00:00.000Z	2021-10-03T01:59:59.000Z	AEST	AT	Antarctica/Macquarie
+	11	0	2021-10-03T02:00:00.000Z	2021-12-31T23:59:59.000Z	AEDT	AT	Antarctica/Macquarie
+	10	30	2021-01-01T00:00:00.000Z	2021-04-04T01:59:59.000Z	ACDT	AS	Australia/Adelaide
+	9	30	2021-04-04T02:00:00.000Z	2021-10-03T01:59:59.000Z	ACST	AS	Australia/Adelaide
+	10	30	2021-10-03T02:00:00.000Z	2021-12-31T23:59:59.000Z	ACDT	AS	Australia/Adelaide
+	10	30	2021-01-01T00:00:00.000Z	2021-04-04T01:59:59.000Z	ACDT	AS	Australia/Broken_Hill
+	9	30	2021-04-04T02:00:00.000Z	2021-10-03T01:59:59.000Z	ACST	AS	Australia/Broken_Hill
+	10	30	2021-10-03T02:00:00.000Z	2021-12-31T23:59:59.000Z	ACDT	AS	Australia/Broken_Hill
+	3	30	2021-01-01T00:00:00.000Z	2021-03-21T23:59:59.000Z	+0330/+0430	Iran	Asia/Tehran
+	4	30	2021-03-22T00:00:00.000Z	2021-09-21T23:59:59.000Z	+0330/+0430	Iran	Asia/Tehran
+	3	30	2021-09-22T00:00:00.000Z	2021-12-31T23:59:59.000Z	+0330/+0430	Iran	Asia/Tehran
+	2	0	2021-01-01T00:00:00.000Z	2021-03-28T00:59:59.000Z	EET	EUAsia	Asia/Nicosia
+	3	0	2021-03-28T01:00:00.000Z	2021-10-31T00:59:59.000Z	EEST	EUAsia	Asia/Nicosia
+	2	0	2021-10-31T01:00:00.000Z	2021-12-31T23:59:59.000Z	EET	EUAsia	Asia/Nicosia
+	2	0	2021-01-01T00:00:00.000Z	2021-03-28T00:59:59.000Z	EET	EUAsia	Asia/Famagusta
+	3	0	2021-03-28T01:00:00.000Z	2021-10-31T00:59:59.000Z	EEST	EUAsia	Asia/Famagusta
+	2	0	2021-10-31T01:00:00.000Z	2021-12-31T23:59:59.000Z	EET	EUAsia	Asia/Famagusta
+	2	0	2021-01-01T00:00:00.000Z	2021-03-26T01:59:59.000Z	IST	Zion	Asia/Jerusalem
+	3	0	2021-03-26T02:00:00.000Z	2021-10-31T01:59:59.000Z	IDT	Zion	Asia/Jerusalem
+	2	0	2021-10-31T02:00:00.000Z	2021-12-31T23:59:59.000Z	IST	Zion	Asia/Jerusalem
+	2	0	2021-01-01T00:00:00.000Z	2021-03-25T23:59:59.000Z	EET	Jordan	Asia/Amman
+	3	0	2021-03-26T00:00:00.000Z	2021-10-28T23:59:59.000Z	EEST	Jordan	Asia/Amman
+	2	0	2021-10-29T00:00:00.000Z	2021-12-31T23:59:59.000Z	EET	Jordan	Asia/Amman
+	2	0	2021-01-01T00:00:00.000Z	2021-03-27T23:59:59.000Z	EET	Lebanon	Asia/Beirut
+	3	0	2021-03-28T00:00:00.000Z	2021-10-30T23:59:59.000Z	EEST	Lebanon	Asia/Beirut
+	2	0	2021-10-31T00:00:00.000Z	2021-12-31T23:59:59.000Z	EET	Lebanon	Asia/Beirut
+	2	0	2021-01-01T00:00:00.000Z	2021-03-26T23:59:59.000Z	EET	Palestine	Asia/Gaza
+	3	0	2021-03-27T00:00:00.000Z	2021-10-30T00:59:59.000Z	EEST	Palestine	Asia/Gaza
+	2	0	2021-10-30T01:00:00.000Z	2021-12-31T23:59:59.000Z	EET	Palestine	Asia/Gaza
+	2	0	2021-01-01T00:00:00.000Z	2021-03-26T23:59:59.000Z	EET	Palestine	Asia/Hebron
+	3	0	2021-03-27T00:00:00.000Z	2021-10-30T00:59:59.000Z	EEST	Palestine	Asia/Hebron
+	2	0	2021-10-30T01:00:00.000Z	2021-12-31T23:59:59.000Z	EET	Palestine	Asia/Hebron
+	2	0	2021-01-01T00:00:00.000Z	2021-03-25T23:59:59.000Z	EET	Syria	Asia/Damascus
+	3	0	2021-03-26T00:00:00.000Z	2021-10-28T23:59:59.000Z	EEST	Syria	Asia/Damascus
+	2	0	2021-10-29T00:00:00.000Z	2021-12-31T23:59:59.000Z	EET	Syria	Asia/Damascus
+	2	0	2021-01-01T00:00:00.000Z	2021-03-28T00:59:59.000Z	EET	EU	EET
+	3	0	2021-03-28T01:00:00.000Z	2021-10-31T00:59:59.000Z	EEST	EU	EET
+	2	0	2021-10-31T01:00:00.000Z	2021-12-31T23:59:59.000Z	EET	EU	EET
+	2	0	2021-01-01T00:00:00.000Z	2021-03-28T00:59:59.000Z	EET	EU	Europe/Sofia
+	3	0	2021-03-28T01:00:00.000Z	2021-10-31T00:59:59.000Z	EEST	EU	Europe/Sofia
+	2	0	2021-10-31T01:00:00.000Z	2021-12-31T23:59:59.000Z	EET	EU	Europe/Sofia
+	2	0	2021-01-01T00:00:00.000Z	2021-03-28T00:59:59.000Z	EET	EU	Europe/Tallinn
+	3	0	2021-03-28T01:00:00.000Z	2021-10-31T00:59:59.000Z	EEST	EU	Europe/Tallinn
+	2	0	2021-10-31T01:00:00.000Z	2021-12-31T23:59:59.000Z	EET	EU	Europe/Tallinn
+	2	0	2021-01-01T00:00:00.000Z	2021-03-28T00:59:59.000Z	EET	EU	Europe/Helsinki
+	3	0	2021-03-28T01:00:00.000Z	2021-10-31T00:59:59.000Z	EEST	EU	Europe/Helsinki
+	2	0	2021-10-31T01:00:00.000Z	2021-12-31T23:59:59.000Z	EET	EU	Europe/Helsinki
+	2	0	2021-01-01T00:00:00.000Z	2021-03-28T00:59:59.000Z	EET	EU	Europe/Athens
+	3	0	2021-03-28T01:00:00.000Z	2021-10-31T00:59:59.000Z	EEST	EU	Europe/Athens
+	2	0	2021-10-31T01:00:00.000Z	2021-12-31T23:59:59.000Z	EET	EU	Europe/Athens
+	2	0	2021-01-01T00:00:00.000Z	2021-03-28T00:59:59.000Z	EET	EU	Europe/Riga
+	3	0	2021-03-28T01:00:00.000Z	2021-10-31T00:59:59.000Z	EEST	EU	Europe/Riga
+	2	0	2021-10-31T01:00:00.000Z	2021-12-31T23:59:59.000Z	EET	EU	Europe/Riga
+	2	0	2021-01-01T00:00:00.000Z	2021-03-28T00:59:59.000Z	EET	EU	Europe/Vilnius
+	3	0	2021-03-28T01:00:00.000Z	2021-10-31T00:59:59.000Z	EEST	EU	Europe/Vilnius
+	2	0	2021-10-31T01:00:00.000Z	2021-12-31T23:59:59.000Z	EET	EU	Europe/Vilnius
+	2	0	2021-01-01T00:00:00.000Z	2021-03-28T01:59:59.000Z	EET	Moldova	Europe/Chisinau
+	3	0	2021-03-28T02:00:00.000Z	2021-10-31T02:59:59.000Z	EEST	Moldova	Europe/Chisinau
+	2	0	2021-10-31T03:00:00.000Z	2021-12-31T23:59:59.000Z	EET	Moldova	Europe/Chisinau
+	2	0	2021-01-01T00:00:00.000Z	2021-03-28T00:59:59.000Z	EET	EU	Europe/Bucharest
+	3	0	2021-03-28T01:00:00.000Z	2021-10-31T00:59:59.000Z	EEST	EU	Europe/Bucharest
+	2	0	2021-10-31T01:00:00.000Z	2021-12-31T23:59:59.000Z	EET	EU	Europe/Bucharest
+	2	0	2021-01-01T00:00:00.000Z	2021-03-28T00:59:59.000Z	EET	EU	Europe/Kiev
+	3	0	2021-03-28T01:00:00.000Z	2021-10-31T00:59:59.000Z	EEST	EU	Europe/Kiev
+	2	0	2021-10-31T01:00:00.000Z	2021-12-31T23:59:59.000Z	EET	EU	Europe/Kiev
+	2	0	2021-01-01T00:00:00.000Z	2021-03-28T00:59:59.000Z	EET	EU	Europe/Uzhgorod
+	3	0	2021-03-28T01:00:00.000Z	2021-10-31T00:59:59.000Z	EEST	EU	Europe/Uzhgorod
+	2	0	2021-10-31T01:00:00.000Z	2021-12-31T23:59:59.000Z	EET	EU	Europe/Uzhgorod
+	2	0	2021-01-01T00:00:00.000Z	2021-03-28T00:59:59.000Z	EET	EU	Europe/Zaporozhye
+	3	0	2021-03-28T01:00:00.000Z	2021-10-31T00:59:59.000Z	EEST	EU	Europe/Zaporozhye
+	2	0	2021-10-31T01:00:00.000Z	2021-12-31T23:59:59.000Z	EET	EU	Europe/Zaporozhye
+	1	0	2021-01-01T00:00:00.000Z	2021-04-11T02:59:59.000Z	+01/+00	Morocco	Africa/Casablanca
+	0	0	2021-04-11T03:00:00.000Z	2021-05-16T01:59:59.000Z	+01/+00	Morocco	Africa/Casablanca
+	1	0	2021-05-16T02:00:00.000Z	2021-12-31T23:59:59.000Z	+01/+00	Morocco	Africa/Casablanca
+	1	0	2021-01-01T00:00:00.000Z	2021-04-11T02:59:59.000Z	+01/+00	Morocco	Africa/El_Aaiun
+	0	0	2021-04-11T03:00:00.000Z	2021-05-16T01:59:59.000Z	+01/+00	Morocco	Africa/El_Aaiun
+	1	0	2021-05-16T02:00:00.000Z	2021-12-31T23:59:59.000Z	+01/+00	Morocco	Africa/El_Aaiun
+	0	0	2021-01-01T00:00:00.000Z	2021-03-28T00:59:59.000Z	IST/GMT	Eire	Europe/Dublin
+	1	0	2021-03-28T01:00:00.000Z	2021-10-31T00:59:59.000Z	IST/GMT	Eire	Europe/Dublin
+	0	0	2021-10-31T01:00:00.000Z	2021-12-31T23:59:59.000Z	IST/GMT	Eire	Europe/Dublin
+	1	0	2021-01-01T00:00:00.000Z	2021-03-28T01:59:59.000Z	CET	C-Eur	CET
+	2	0	2021-03-28T02:00:00.000Z	2021-10-31T01:59:59.000Z	CEST	C-Eur	CET
+	1	0	2021-10-31T02:00:00.000Z	2021-12-31T23:59:59.000Z	CET	C-Eur	CET
+	1	0	2021-01-01T00:00:00.000Z	2021-03-28T01:59:59.000Z	MET	C-Eur	MET
+	2	0	2021-03-28T02:00:00.000Z	2021-10-31T01:59:59.000Z	MEST	C-Eur	MET
+	1	0	2021-10-31T02:00:00.000Z	2021-12-31T23:59:59.000Z	MET	C-Eur	MET
+	1	0	2021-01-01T00:00:00.000Z	2021-03-28T00:59:59.000Z	CET	EU	Europe/Tirane
+	2	0	2021-03-28T01:00:00.000Z	2021-10-31T00:59:59.000Z	CEST	EU	Europe/Tirane
+	1	0	2021-10-31T01:00:00.000Z	2021-12-31T23:59:59.000Z	CET	EU	Europe/Tirane
+	1	0	2021-01-01T00:00:00.000Z	2021-03-28T00:59:59.000Z	CET	EU	Europe/Andorra
+	2	0	2021-03-28T01:00:00.000Z	2021-10-31T00:59:59.000Z	CEST	EU	Europe/Andorra
+	1	0	2021-10-31T01:00:00.000Z	2021-12-31T23:59:59.000Z	CET	EU	Europe/Andorra
+	1	0	2021-01-01T00:00:00.000Z	2021-03-28T00:59:59.000Z	CET	EU	Europe/Vienna
+	2	0	2021-03-28T01:00:00.000Z	2021-10-31T00:59:59.000Z	CEST	EU	Europe/Vienna
+	1	0	2021-10-31T01:00:00.000Z	2021-12-31T23:59:59.000Z	CET	EU	Europe/Vienna
+	1	0	2021-01-01T00:00:00.000Z	2021-03-28T00:59:59.000Z	CET	EU	Europe/Brussels
+	2	0	2021-03-28T01:00:00.000Z	2021-10-31T00:59:59.000Z	CEST	EU	Europe/Brussels
+	1	0	2021-10-31T01:00:00.000Z	2021-12-31T23:59:59.000Z	CET	EU	Europe/Brussels
+	1	0	2021-01-01T00:00:00.000Z	2021-03-28T00:59:59.000Z	CET	EU	Europe/Prague
+	2	0	2021-03-28T01:00:00.000Z	2021-10-31T00:59:59.000Z	CEST	EU	Europe/Prague
+	1	0	2021-10-31T01:00:00.000Z	2021-12-31T23:59:59.000Z	CET	EU	Europe/Prague
+	1	0	2021-01-01T00:00:00.000Z	2021-03-28T00:59:59.000Z	CET	EU	Europe/Copenhagen
+	2	0	2021-03-28T01:00:00.000Z	2021-10-31T00:59:59.000Z	CEST	EU	Europe/Copenhagen
+	1	0	2021-10-31T01:00:00.000Z	2021-12-31T23:59:59.000Z	CET	EU	Europe/Copenhagen
+	1	0	2021-01-01T00:00:00.000Z	2021-03-28T00:59:59.000Z	CET	EU	Europe/Paris
+	2	0	2021-03-28T01:00:00.000Z	2021-10-31T00:59:59.000Z	CEST	EU	Europe/Paris
+	1	0	2021-10-31T01:00:00.000Z	2021-12-31T23:59:59.000Z	CET	EU	Europe/Paris
+	1	0	2021-01-01T00:00:00.000Z	2021-03-28T00:59:59.000Z	CET	EU	Europe/Berlin
+	2	0	2021-03-28T01:00:00.000Z	2021-10-31T00:59:59.000Z	CEST	EU	Europe/Berlin
